Country;Code;IsoCode;ShortName;Category;Name;OfficialLanguages;Groups;Parent
CH;CH-SO-GG-WZ;;SO-GG-WZ;DE Gemeinde,RM vischnanca,FR commune,IT comune,EN municipality;DE Winznau;DE;SO-VS,SO-MS,SO-BS;SO-GG
CH;CH-SO-LB;;SO-LB;DE Bezirk,FR district,IT distretto,RM district,EN district;DE Lebern;DE;SO-VS,SO-MS,SO-BS;SO
CH;CH-SO-LB-BA;;SO-LB-BA;DE Gemeinde,RM vischnanca,FR commune,IT comune,EN municipality;DE Balm bei Günsberg;DE;SO-VS,SO-MS,SO-BS;SO-LB
CH;CH-SO-LB-BE;;SO-LB-BE;DE Gemeinde,RM vischnanca,FR commune,IT comune,EN municipality;DE Bellach;DE;SO-VS,SO-MS,SO-BS;SO-LB
CH;CH-SO-LB-BT;;SO-LB-BT;DE Gemeinde,RM vischnanca,FR commune,IT comune,EN municipality;DE Bettlach;DE;SO-VS,SO-MS,SO-BS;SO-LB
CH;CH-SO-LB-FB;;SO-LB-FB;DE Gemeinde,RM vischnanca,FR commune,IT comune,EN municipality;DE Feldbrunnen-St. Niklaus;DE;SO-VS,SO-MS,SO-BS;SO-LB
CH;CH-SO-LB-FT;;SO-LB-FT;DE Gemeinde,RM vischnanca,FR commune,IT comune,EN municipality;DE Flumenthal;DE;SO-VS,SO-MS,SO-BS;SO-LB
CH;CH-SO-LB-GB;;SO-LB-GB;DE Gemeinde,RM vischnanca,FR commune,IT comune,EN municipality;DE Günsberg;DE;SO-VS,SO-MS,SO-BS;SO-LB
CH;CH-SO-LB-GR;;SO-LB-GR;DE Gemeinde,RM vischnanca,FR commune,IT comune,EN municipality;DE Grenchen;DE;SO-VS,SO-MS,SO-BS;SO-LB
CH;CH-SO-LB-HD;;SO-LB-HD;DE Gemeinde,RM vischnanca,FR commune,IT comune,EN municipality;DE Hubersdorf;DE;SO-VS,SO-MS,SO-BS;SO-LB
CH;CH-SO-LB-KR;;SO-LB-KR;DE Gemeinde,RM vischnanca,FR commune,IT comune,EN municipality;DE Kammersrohr;DE;SO-VS,SO-MS,SO-BS;SO-LB
CH;CH-SO-LB-LD;;SO-LB-LD;DE Gemeinde,RM vischnanca,FR commune,IT comune,EN municipality;DE Langendorf;DE;SO-VS,SO-MS,SO-BS;SO-LB
CH;CH-SO-LB-LW;;SO-LB-LW;DE Gemeinde,RM vischnanca,FR commune,IT comune,EN municipality;DE Lommiswil;DE;SO-VS,SO-MS,SO-BS;SO-LB
