Country;Code;IsoCode;ShortName;Category;Name;OfficialLanguages;Parent
PT;PT-CTM;;CTM;PT município,EN municipality,DE Gemeinde;PT Castro Marim,EN Castro Marim,DE Castro Marim;PT;FA
PT;PT-CVR;;CVR;PT município,EN municipality,DE Gemeinde;PT Castro Verde,EN Castro Verde,DE Castro Verde;PT;BE
PT;PT-CLB;;CLB;PT município,EN municipality,DE Gemeinde;PT Celorico da Beira,EN Celorico da Beira,DE Celorico da Beira;PT;GU
PT;PT-CBT;;CBT;PT município,EN municipality,DE Gemeinde;PT Celorico de Basto,EN Celorico de Basto,DE Celorico de Basto;PT;BR
PT;PT-CHM;;CHM;PT município,EN municipality,DE Gemeinde;PT Chamusca,EN Chamusca,DE Chamusca;PT;SA
PT;PT-CHV;;CHV;PT município,EN municipality,DE Gemeinde;PT Chaves,EN Chaves,DE Chaves;PT;VR
PT;PT-CNF;;CNF;PT município,EN municipality,DE Gemeinde;PT Cinfães,EN Cinfães,DE Cinfães;PT;VI
PT;PT-CBR;;CBR;PT município,EN municipality,DE Gemeinde;PT Coimbra,EN Coimbra,DE Coimbra;PT;CO
PT;PT-CDN;;CDN;PT município,EN municipality,DE Gemeinde;PT Condeixa-a-Nova,EN Condeixa-a-Nova,DE Condeixa-a-Nova;PT;CO
PT;PT-CNS;;CNS;PT município,EN municipality,DE Gemeinde;PT Constância,EN Constância,DE Constância;PT;SA
PT;PT-CCH;;CCH;PT município,EN municipality,DE Gemeinde;PT Coruche,EN Coruche,DE Coruche;PT;SA
PT;PT-CRV;;CRV;PT município,EN municipality,DE Gemeinde;PT Corvo,EN Corvo,DE Corvo;PT;AC
PT;PT-CVL;;CVL;PT município,EN municipality,DE Gemeinde;PT Covilhã,EN Covilhã,DE Covilhã;PT;CB
PT;PT-CRT;;CRT;PT município,EN municipality,DE Gemeinde;PT Crato,EN Crato,DE Crato;PT;PA
PT;PT-CBA;;CBA;PT município,EN municipality,DE Gemeinde;PT Cuba,EN Cuba,DE Cuba;PT;BE
