Id;Country;StartDate;EndDate;Type;RegionalScope;Name;Groups
7bd2d5bc-1d95-425f-b6d2-712025603ac8;NL;2021-07-10;2021-08-22;School;Regional;NL Zomervakantie,DE Sommerferien,EN Summer Holidays;NO
5dd609f3-2c3e-43b0-af06-82bbcab0630c;NL;2021-07-17;2021-08-29;School;Regional;NL Zomervakantie,DE Sommerferien,EN Summer Holidays;MI
cfb99e93-cdab-42a8-8609-828bb0184445;NL;2021-07-24;2021-09-05;School;Regional;NL Zomervakantie,DE Sommerferien,EN Summer Holidays;ZU
601a9e3e-25ed-4c7c-a2d3-eee34dea5930;NL;2021-10-16;2021-10-24;School;Regional;NL Herfstvakantie,DE Herbstferien,EN Autumn Holidays;NO,MI
108660de-bb85-498c-9f71-1153ee22c016;NL;2021-10-23;2021-10-31;School;Regional;NL Herfstvakantie,DE Herbstferien,EN Autumn Holidays;ZU
ad4590a8-e559-481b-9b75-601c57bdbd4e;NL;2021-12-25;2022-01-09;School;Regional;NL Kerstvakantie,DE Weihnachtsferien,EN Christmas Holidays;NO,MI,ZU
8e914903-676a-43fd-8222-0f751ae9c734;NL;2022-02-19;2022-02-27;School;Regional;NL Voorjaarsvakantie,DE Frühjahrsferien,EN Spring Holidays;NO
887ec996-9393-447c-b8e0-d1243f552812;NL;2022-02-26;2022-03-06;School;Regional;NL Voorjaarsvakantie,DE Frühjahrsferien,EN Spring Holidays;MI,ZU
d160fdfc-fe78-4766-b06e-93c02bd2f43c;NL;2022-04-30;2022-05-08;School;Regional;NL Meivakantie,DE Maiferien,EN May Holidays;NO,MI,ZU
f4dac7bd-6c7d-4493-a23d-c442f61b1e4c;NL;2022-07-09;2022-08-21;School;Regional;NL Zomervakantie,DE Sommerferien,EN Summer Holidays;MI
918695c9-c256-4968-88a7-8c75b3d4e493;NL;2022-07-16;2022-08-28;School;Regional;NL Zomervakantie,DE Sommerferien,EN Summer Holidays;NO
4e858ac7-a389-4ac3-84f5-241b5d3888e3;NL;2022-07-23;2022-09-04;School;Regional;NL Zomervakantie,DE Sommerferien,EN Summer Holidays;ZU
c7e751f0-cc53-4c9d-ba52-14ff8dc407b0;NL;2022-10-15;2022-10-23;School;Regional;NL Herfstvakantie,DE Herbstferien,EN Autumn Holidays;NO
d52d91c1-7f4e-4912-9e09-c621b505c87c;NL;2022-10-22;2022-10-30;School;Regional;NL Herfstvakantie,DE Herbstferien,EN Autumn Holidays;MI,ZU
8a9a7f0e-4153-417f-a829-06d7b401fa0c;NL;2022-12-24;2023-01-08;School;Regional;NL Kerstvakantie,DE Weihnachtsferien,EN Christmas Holidays;NO,MI,ZU
43997580-01f4-4881-ab2d-9e25efaea6ea;NL;2023-02-18;2023-02-26;School;Regional;NL Voorjaarsvakantie,DE Frühjahrsferien,EN Spring Holidays;ZU
a577e713-3fd0-4834-9e03-637ee15accde;NL;2023-02-25;2023-03-05;School;Regional;NL Voorjaarsvakantie,DE Frühjahrsferien,EN Spring Holidays;NO,MI
4860ddf8-6037-46d6-8683-9efb1af4205b;NL;2023-04-29;2023-05-07;School;Regional;NL Meivakantie,DE Maiferien,EN May Holidays;NO,MI,ZU
a9d18bf0-296b-4183-b6ae-7b0a6a1cfbf3;NL;2023-07-08;2023-08-20;School;Regional;NL Zomervakantie,DE Sommerferien,EN Summer Holidays;MI
74411783-8fc2-4a24-9ffa-05978108e556;NL;2023-07-15;2023-08-27;School;Regional;NL Zomervakantie,DE Sommerferien,EN Summer Holidays;ZU
03a665fc-7704-4d37-8afe-e9f6e93dfcbe;NL;2023-07-22;2023-09-03;School;Regional;NL Zomervakantie,DE Sommerferien,EN Summer Holidays;NO
18181ea1-fabc-4e80-b5e4-16b3ef1a0a35;NL;2023-10-14;2023-10-22;School;Regional;NL Herfstvakantie,DE Herbstferien,EN Autumn Holidays;MI,ZU
916a3720-b65f-44e8-970a-d9ca4c0a8f34;NL;2023-10-21;2023-10-29;School;Regional;NL Herfstvakantie,DE Herbstferien,EN Autumn Holidays;NO
d0a7b747-8ca5-42b7-b77e-bfa0d5e15006;NL;2023-12-23;2024-01-07;School;Regional;NL Kerstvakantie,DE Weihnachtsferien,EN Christmas Holidays;NO,MI,ZU
6a730a65-d5f5-4fd4-936b-63f146a47349;NL;2024-02-10;2024-02-18;School;Regional;NL Voorjaarsvakantie,DE Frühjahrsferien,EN Spring Holidays;ZU
fbda451b-87d5-4e11-b9dd-c9f22646d2ae;NL;2024-02-17;2024-02-25;School;Regional;NL Voorjaarsvakantie,DE Frühjahrsferien,EN Spring Holidays;NO,MI
f56adbc6-7648-46c8-8683-88bdc5a05117;NL;2024-04-27;2024-05-05;School;Regional;NL Meivakantie,DE Maiferien,EN May Holidays;NO,MI,ZU
97609ebf-b7bf-47a2-81bc-be73e0b1c795;NL;2024-07-06;2024-08-18;School;Regional;NL Zomervakantie,DE Sommerferien,EN Summer Holidays;ZU
32d10b51-e5a1-4d1f-b704-36fc767e0178;NL;2024-07-13;2024-08-25;School;Regional;NL Zomervakantie,DE Sommerferien,EN Summer Holidays;MI
2903b184-55da-46a6-97fe-b9300df22fd7;NL;2024-07-20;2024-09-01;School;Regional;NL Zomervakantie,DE Sommerferien,EN Summer Holidays;NO
73f65d6b-565e-4df4-b1a0-6dd1159143c7;NL;2024-10-19;2024-10-27;School;Regional;NL Herfstvakantie,DE Herbstferien,EN Autumn Holidays;ZU
56dacdcf-1d06-4d3f-817e-31d23e876946;NL;2024-10-26;2024-11-03;School;Regional;NL Herfstvakantie,DE Herbstferien,EN Autumn Holidays;NO,MI
b3b08e09-cc59-41db-ab86-61e7d5d87dd8;NL;2024-12-21;2025-01-05;School;Regional;NL Kerstvakantie,DE Weihnachtsferien,EN Christmas Holidays;NO,MI,ZU
eac24f47-0825-4237-a298-e0c05400f94a;NL;2025-02-15;2025-02-23;School;Regional;NL Voorjaarsvakantie,DE Frühjahrsferien,EN Spring Holidays;NO
354a86f0-2641-452f-92d0-5984fc06a757;NL;2025-02-22;2025-03-02;School;Regional;NL Voorjaarsvakantie,DE Frühjahrsferien,EN Spring Holidays;MI,ZU
8c2ec6a3-20eb-4c77-a101-f0e60cb542eb;NL;2025-04-26;2025-05-04;School;Regional;NL Meivakantie,DE Maiferien,EN May Holidays;NO,MI,ZU
78a89e88-0c32-49c6-a289-ab95779d20e8;NL;2025-07-05;2025-08-17;School;Regional;NL Zomervakantie,DE Sommerferien,EN Summer Holidays;ZU
a8ad7f5d-75e6-4655-8406-092eac23295b;NL;2025-07-12;2025-08-24;School;Regional;NL Zomervakantie,DE Sommerferien,EN Summer Holidays;NO
4aec1338-24b0-4d80-ab83-a6ab0d26d7dd;NL;2025-07-19;2025-08-31;School;Regional;NL Zomervakantie,DE Sommerferien,EN Summer Holidays;MI
f895d57d-fa51-4c31-90fd-97fd55d5bbd4;NL;2025-10-11;2025-10-19;School;Regional;NL Herfstvakantie,DE Herbstferien,EN Autumn Holidays;ZU
0f047096-e247-481e-9c03-dd044a0dd90e;NL;2025-10-18;2025-10-26;School;Regional;NL Herfstvakantie,DE Herbstferien,EN Autumn Holidays;NO,MI
192cca91-2099-4563-96ee-eefbe54e9428;NL;2025-12-20;2026-01-04;School;Regional;NL Kerstvakantie,DE Weihnachtsferien,EN Christmas Holidays;NO,MI,ZU
04ccc95b-54db-41a3-aeaa-4b4be18041f7;NL;2026-02-14;2026-02-22;School;Regional;NL Voorjaarsvakantie,DE Frühjahrsferien,EN Spring Holidays;MI,ZU
11fb3ddc-587e-4fb5-8c71-9255048795bb;NL;2026-02-21;2026-03-01;School;Regional;NL Voorjaarsvakantie,DE Frühjahrsferien,EN Spring Holidays;NO
d73a5a32-6f82-41d7-b222-7e9c578d4e46;NL;2026-04-25;2026-05-03;School;Regional;NL Meivakantie,DE Maiferien,EN May Holidays;NO,MI,ZU
f9b4ce28-70bf-4e53-afa7-1d42a71a4dd8;NL;2026-07-04;2026-08-16;School;Regional;NL Zomervakantie,DE Sommerferien,EN Summer Holidays;NO
80baa229-d097-4c68-95b4-c932f8ecce2f;NL;2026-07-11;2026-08-23;School;Regional;NL Zomervakantie,DE Sommerferien,EN Summer Holidays;ZU
7c4083af-4274-405f-ba15-f556d95732d1;NL;2026-07-18;2026-08-30;School;Regional;NL Zomervakantie,DE Sommerferien,EN Summer Holidays;MI
a7d177bf-abc5-43e5-aa5e-5fb91ed2432a;NL;2026-10-10;2026-10-18;School;Regional;NL Herfstvakantie,DE Herbstferien,EN Autumn Holidays;NO
9ddc891b-084e-42cc-a88c-985b2433fa0e;NL;2026-10-17;2026-10-25;School;Regional;NL Herfstvakantie,DE Herbstferien,EN Autumn Holidays;MI,ZU
c06080db-2609-4e78-9d86-5658dfc6d405;NL;2026-12-19;2027-01-03;School;Regional;NL Kerstvakantie,DE Weihnachtsferien,EN Christmas Holidays;NO,MI,ZU
81b673ef-0296-475d-9632-18389c9fceee;NL;2027-02-13;2027-03-21;School;Regional;NL Voorjaarsvakantie,DE Frühjahrsferien,EN Spring Holidays;ZU
fffa3e03-ae92-4db4-b68b-0ee80e3c9880;NL;2027-02-20;2027-02-28;School;Regional;NL Voorjaarsvakantie,DE Frühjahrsferien,EN Spring Holidays;NO,MI
abea799a-27d0-4e81-b35b-ca168cb2b590;NL;2027-04-24;2027-05-02;School;Regional;NL Meivakantie,DE Maiferien,EN May Holidays;NO,MI,ZU
86a433cc-81c0-4877-8604-d5c93ab8a416;NL;2027-07-10;2027-08-22;School;Regional;NL Zomervakantie,DE Sommerferien,EN Summer Holidays;NO
7c0440bd-9191-41cb-b053-9caaaa558b18;NL;2027-07-17;2027-08-29;School;Regional;NL Zomervakantie,DE Sommerferien,EN Summer Holidays;MI
c684fe5d-ef80-4ef7-b758-3aa41c75e392;NL;2027-07-24;2027-09-05;School;Regional;NL Zomervakantie,DE Sommerferien,EN Summer Holidays;ZU
b0593295-971b-410c-ad51-d656bdcec962;NL;2027-10-16;2027-10-24;School;Regional;NL Herfstvakantie,DE Herbstferien,EN Autumn Holidays;NO,MI
9fc27a48-fb49-4b6e-8419-5b4e464ee99d;NL;2027-10-23;2027-10-31;School;Regional;NL Herfstvakantie,DE Herbstferien,EN Autumn Holidays;ZU
be1a7afb-6d8d-401f-9682-3c680f0f5d3c;NL;2027-12-25;2028-01-09;School;Regional;NL Kerstvakantie,DE Weihnachtsferien,EN Christmas Holidays;NO,MI,ZU
7fc0c295-c0c3-481b-8511-238bea299a32;NL;2028-02-19;2028-02-27;School;Regional;NL Voorjaarsvakantie,DE Frühjahrsferien,EN Spring Holidays;NO
04965932-8da8-4b81-bea5-9bee137330de;NL;2028-02-26;2028-03-05;School;Regional;NL Voorjaarsvakantie,DE Frühjahrsferien,EN Spring Holidays;MI,ZU
f857d324-4ec2-431c-8236-7bc58ac8719c;NL;2028-04-29;2028-05-07;School;Regional;NL Meivakantie,DE Maiferien,EN May Holidays;NO,MI,ZU
51beeb01-ebee-4c28-a4fd-fa354be04f72;NL;2028-07-08;2028-08-20;School;Regional;NL Zomervakantie,DE Sommerferien,EN Summer Holidays;MI
511e6e29-4588-4a1c-9bb3-fceb72a13113;NL;2028-07-15;2028-08-27;School;Regional;NL Zomervakantie,DE Sommerferien,EN Summer Holidays;NO
6a28b84d-940e-478a-8342-99e3cf258fc1;NL;2028-07-22;2028-09-03;School;Regional;NL Zomervakantie,DE Sommerferien,EN Summer Holidays;ZU
02c39e27-0362-4b28-8e99-c84cd6fd0ce3;NL;2028-10-14;2028-10-22;School;Regional;NL Herfstvakantie,DE Herbstferien,EN Autumn Holidays;NO
74bf4ea8-ebd1-49b7-84bc-4ef57bf62b6e;NL;2028-10-21;2028-10-29;School;Regional;NL Herfstvakantie,DE Herbstferien,EN Autumn Holidays;ZU,MI
54ad5fbe-b781-4992-b120-349a55ac183a;NL;2028-12-23;2029-01-07;School;Regional;NL Kerstvakantie,DE Weihnachtsferien,EN Christmas Holidays;NO,MI,ZU
eb34a27b-2e8b-4580-9965-b647a8c00894;NL;2029-02-10;2029-03-18;School;Regional;NL Voorjaarsvakantie,DE Frühjahrsferien,EN Spring Holidays;ZU
a31d82bd-d383-40c9-ba4f-ada017772197;NL;2029-02-17;2029-02-25;School;Regional;NL Voorjaarsvakantie,DE Frühjahrsferien,EN Spring Holidays;NO,MI
259daf4e-4aaf-44f2-81c6-672618d59b70;NL;2029-04-28;2029-05-06;School;Regional;NL Meivakantie,DE Maiferien,EN May Holidays;NO,MI,ZU
c99c8ddd-c848-4caf-ab2b-159049e35edb;NL;2029-07-07;2029-08-19;School;Regional;NL Zomervakantie,DE Sommerferien,EN Summer Holidays;MI
368890a6-92e8-4f9b-8a25-a641a2d27324;NL;2029-07-14;2029-08-26;School;Regional;NL Zomervakantie,DE Sommerferien,EN Summer Holidays;ZU
f267c37c-8afe-4e29-a953-5640e792e98f;NL;2029-07-21;2029-09-02;School;Regional;NL Zomervakantie,DE Sommerferien,EN Summer Holidays;NO
6601b783-8612-4d78-82b0-045159013e3d;NL;2029-10-13;2029-10-21;School;Regional;NL Herfstvakantie,DE Herbstferien,EN Autumn Holidays;ZU
42661ec8-7931-4817-bdbe-396f70ef9e84;NL;2029-10-20;2029-10-28;School;Regional;NL Herfstvakantie,DE Herbstferien,EN Autumn Holidays;NO,MI
b0d7e035-4851-4e93-a431-d1a28081ebcb;NL;2029-12-22;2030-01-06;School;Regional;NL Kerstvakantie,DE Weihnachtsferien,EN Christmas Holidays;NO,MI,ZU
c29f093a-9ca7-4bb1-9487-d99cb78d3fd2;NL;2030-02-16;2030-02-24;School;Regional;NL Voorjaarsvakantie,DE Frühjahrsferien,EN Spring Holidays;NO
836d2ad5-d81d-4879-a2b2-a436577c97e2;NL;2030-02-23;2030-03-03;School;Regional;NL Voorjaarsvakantie,DE Frühjahrsferien,EN Spring Holidays;MI,ZU
b2537465-5415-4d07-81ef-6ffa1abb632b;NL;2030-04-27;2030-05-05;School;Regional;NL Meivakantie,DE Maiferien,EN May Holidays;NO,MI,ZU
3216e026-01f2-4df0-8aa7-617b88a90e4b;NL;2030-07-06;2030-08-18;School;Regional;NL Zomervakantie,DE Sommerferien,EN Summer Holidays;ZU
de5c1976-7300-4da1-9dc0-d804629d2ed9;NL;2030-07-13;2030-08-25;School;Regional;NL Zomervakantie,DE Sommerferien,EN Summer Holidays;MI
d1efecbc-23df-4d3a-94c1-93b3c1fc67ec;NL;2030-07-20;2030-09-01;School;Regional;NL Zomervakantie,DE Sommerferien,EN Summer Holidays;NO
