Country;Code;IsoCode;ShortName;Category;Name;OfficialLanguages;Parent
ES;ES-NC-NA;ES-NA;NC-NA;ES provincia,CA província,EN province,DE Provinz;EU Nafarroa,ES Navarra,CA Navarra,EN Navarre,DE Navarra;EU,ES;NC
ES;ES-PV;ES-PV;PV;ES Comunidad autónoma,CA Comunitat autònoma,EN Autonomous community,DE Autonome Gemeinschaft;EU Euskal Herria,ES País Vasco,CA País Basc,EN Basque Country,DE Baskenland;EU,ES;
ES;ES-PV-AA;ES-VI;PV-AA;ES provincia,CA província,EN province,DE Provinz;EU Araba,ES Álava,CA Àlaba,EN Álava,DE Álava;EU,ES;PV
ES;ES-PV-GP;ES-SS;PV-GP;ES provincia,CA província,EN province,DE Provinz;EU Gipuzkoa,ES Guipúzcoa,CA Guipúscoa,EN Gipuzkoa,DE Gipuzkoa;EU,ES;PV
ES;ES-PV-VZ;ES-BI;PV-VZ;ES provincia,CA província,EN province,DE Provinz;EU Bizkaia,ES Vizcaya,CA Biscaia,EN Biscay,DE Bizkaia;EU,ES;PV
ES;ES-RI;ES-RI;RI;ES Comunidad autónoma,CA Comunitat autònoma,EN Autonomous community,DE Autonome Gemeinschaft;ES La Rioja,CA La Rioja,EN La Rioja,DE La Rioja;ES;
ES;ES-RI-LR;ES-LO;RI-LR;ES provincia,CA província,EN province,DE Provinz;ES La Rioja,CA La Rioja,EN La Rioja,DE La Rioja;ES;RI
ES;ES-VC;ES-VC;VC;ES Comunidad autónoma,CA Comunitat autònoma,EN Autonomous community,DE Autonome Gemeinschaft;CA Comunitat Valenciana,ES Comunidad Valenciana,EN Valencian Community,DE Valencianische Gemeinschaft;CA,ES;
ES;ES-VC-AN;ES-A;VC-AN;ES provincia,CA província,EN province,DE Provinz;CA Alacant,ES Alicante,EN Alicante,DE Alicante;CA,ES;VC
ES;ES-VC-CS;ES-CS;VC-CS;ES provincia,CA província,EN province,DE Provinz;CA Castelló,ES Castellón,EN Castellón,DE Castellón;CA,ES;VC
ES;ES-VC-VN;ES-V;VC-VN;ES provincia,CA província,EN province,DE Provinz;CA València,ES Valencia,EN Valencia,DE Valencia;CA,ES;VC
