Id;Country;StartDate;EndDate;Type;Name;Comments
80031262-1458-40bd-8284-2a2843f2cea4;PT;2022-06-16;2022-09-12;School;PT Férias de verão,EN Summer holidays,DE Sommerferien;PT 5.º%2C 6.º%2C, 7.º%2C 8.º e 10.º anos de escolaridade,EN 5th%2C 6th%2C 7th%2C 8th and 10th grades,DE 5.%2C 6.%2C 7.%2C 8. und 10. Klassenstufe
79fe2708-b63a-4248-92ba-4589380e060f;PT;2022-07-01;2022-09-12;School;PT Férias de verão,EN Summer holidays,DE Sommerferien;PT Educação pré-escolar e 1.º%2C 2.º%2C 3.º e 4.º anos de escolaridade,EN Pre-school education and 1st%2C 2nd%2C 3rd and 4th grades,DE Vorschulerziehung und 1.%2C 2.%2C 3. und 4. Schuljahr
f10c31a7-2f43-489d-935f-cb6722f03182;PT;2022-12-19;2023-01-02;School;PT Férias de Natal,EN Christmas holidays,DE Weihnachtsferien;
f1136082-d1fa-43a9-bfb8-4451120c64b3;PT;2023-02-20;2023-02-22;School;PT Férias de Carnaval,EN Carnival holidays,DE Karnevalsferien;
1ac1b8bd-a4dd-4be0-8e77-a2d34e2f1d30;PT;2023-04-03;2023-04-14;School;PT Férias de Páscoa,EN Easter holidays,DE Osterferien;
3ca586a3-a212-4a40-869a-ff79f90781fc;PT;2023-06-08;2023-09-11;School;PT Férias de verão,EN Summer holidays,DE Sommerferien;PT 9.º%2C 11.º e 12.º anos de escolaridade,EN 9th%2C 11th and 12th grades,DE 9.%2C 11. und 12. Jahrgangsstufe 
8bacf741-89a7-409b-b01a-daec18f73b35;PT;2023-06-15;2023-09-11;School;PT Férias de verão,EN Summer holidays,DE Sommerferien;PT 5.º%2C 6.º%2C, 7.º%2C 8.º e 10.º anos de escolaridade,EN 5th%2C 6th%2C 7th%2C 8th and 10th grades,DE 5.%2C 6.%2C 7.%2C 8. und 10. Klassenstufe
b23d7dc8-c2ef-411a-aea3-39d936352efe;PT;2023-07-01;2023-09-11;School;PT Férias de verão,EN Summer holidays,DE Sommerferien;PT Educação pré-escolar e 1.º%2C 2.º%2C 3.º e 4.º anos de escolaridade,EN Pre-school education and 1st%2C 2nd%2C 3rd and 4th grades,DE Vorschulerziehung und 1.%2C 2.%2C 3. und 4. Schuljahr
7895a195-f45e-4822-9d87-93bf3b33d193;PT;2023-12-18;2024-01-02;School;PT Férias de Natal,EN Christmas holidays,DE Weihnachtsferien;
5923ab86-0394-472f-a1ed-90350c663c5d;PT;2024-02-12;2024-02-14;School;PT Férias de Carnaval,EN Carnival holidays,DE Karnevalsferien;
f5f877ee-d8aa-475f-9375-528d3027416f;PT;2024-03-25;2024-04-05;School;PT Férias de Páscoa,EN Easter holidays,DE Osterferien;
9b047af5-a916-410f-ae3b-474e284be386;PT;2024-06-05;2024-09-11;School;PT Férias de verão,EN Summer holidays,DE Sommerferien;PT 9.º%2C 11.º e 12.º anos de escolaridade,EN 9th%2C 11th and 12th grades,DE 9.%2C 11. und 12. Jahrgangsstufe 
e1f74e06-f6b5-41d3-b821-4feba1ca2bac;PT;2024-06-15;2024-09-11;School;PT Férias de verão,EN Summer holidays,DE Sommerferien;PT 5.º%2C 6.º%2C, 7.º%2C 8.º e 10.º anos de escolaridade,EN 5th%2C 6th%2C 7th%2C 8th and 10th grades,DE 5.%2C 6.%2C 7.%2C 8. und 10. Klassenstufe
84696cc8-5666-4e4b-9a9f-50152b438c40;PT;2024-06-29;2024-09-11;School;PT Férias de verão,EN Summer holidays,DE Sommerferien;PT Educação pré-escolar e 1.º%2C 2.º%2C 3.º e 4.º anos de escolaridade,EN Pre-school education and 1st%2C 2nd%2C 3rd and 4th grades,DE Vorschulerziehung und 1.%2C 2.%2C 3. und 4. Schuljahr
ac976de0-a115-4577-8a45-c5e4e0e4e8f9;PT;2024-12-18;2025-01-03;School;PT Férias de Natal,EN Christmas holidays,DE Weihnachtsferien;
869d1fc2-ddf7-4439-b494-d1d6ccd3b090;PT;2025-03-03;2025-03-05;School;PT Férias de Carnaval,EN Carnival holidays,DE Karnevalsferien;
