Id;Country;StartDate;EndDate;Type;RegionalScope;Status;Name;Subdivisions
6e12762d-58cd-4f7b-8fe0-dec2e6f0e462;PT;2020-06-24;;Public;Local;Optional;PT Dia de São João,EN St John's Day,DE Johannistag;AC-AH,AC-CA,AC-HO,AC-SF,AC-VC,AC-VP,AV-CP,BE-AM,BE-ME,BE-MO,BR-BR,CO-FF,CO-FF,CO-LO,FA-CM,FA-TA,LE-FV,LI-LN,PA-AR,PO-PO,PO-VA,PO-VC,PO-VG,SE-AC,SE-AM,SE-AS,VI-AR,VI-CI,VI-MB,VI-NE,VI-SJ,VI-TB
7b08a7cd-a0f5-4300-8588-a8d2546020ea;PT;2020-06-24;;Public;Local;Optional;PT Batalha de São Mamede,EN Battle of São Mamede,DE Schlacht von São Mamede;BR-GU
76eb2818-24c1-4725-b0a5-2bef7bfdc713;PT;2020-06-24;;Public;Local;Optional;PT Dia de São Nuno de Santa Maria,EN St Day of Nuno de Santa Maria,DE Tag des Heiligen Nuno de Santa Maria;CB-SE
ed1c7eea-cf57-4bfb-b275-354574151f83;PT;2020-06-24;;Public;Local;Optional;PT Feriado Municipal,EN Municipal holiday,DE Kommunaler Feiertag;MA-PS
539100aa-8990-4fa0-8865-af7ac177267f;PT;2020-06-28;;Public;Local;Optional;PT Feriado Municipal,EN Municipal holiday,DE Kommunaler Feiertag;SE-BA
43abbfae-dab9-4c22-b48c-5aec870fdb82;PT;2020-06-29;;Public;Local;Optional;PT Feriado Municipal,EN Municipal holiday,DE Kommunaler Feiertag;AC-LP
34ab0ef4-4482-454b-b59b-f39fda94afa6;PT;2020-06-29;;Public;Local;Optional;PT Dia de São Pedro,EN St Peter's Day,DE Tag des heiligen Petrus;AC-RG,BA-AF,BE-CV,LE-BO,LE-PM,MA-RB,PO-FE,VI-CD,VI-SP
17b407dd-3b87-40bc-a9ca-c4d3b60759a9;PT;2020-06-29;;Public;Local;Optional;PT Dia de PT Dia de São Pedro,EN St Peter's Day,DE Tag des heiligen Petrus,EN St Peter's Day,DE Tag des heiligen Petrus;BA-MC,BR-BA,EV-EV,LI-SI,LI-TV,PO-PV,SE-MN,SE-SE,SE-SX,VI-PE
c50a3169-e3b6-4eae-8803-7483033d37fa;PT;2020-07-02;;Public;Local;Optional;PT Batalha do Côa,EN Battle of the Côa,DE Schlacht an der Côa;GU-AL
b0cdd1c2-0530-4c66-b7e8-74dbe6bf2f05;PT;2020-07-03;;Public;Local;Optional;PT Feriado Municipal,EN Municipal holiday,DE Kommunaler Feiertag;GU-SE
2cbdd186-cf7e-442c-b728-207ba48696c3;PT;2020-07-04;;Public;Local;Optional;PT Feriado Municipal,EN Municipal holiday,DE Kommunaler Feiertag;CO-CO,LE-CP
81547e4c-15a4-4c1b-868a-0768e52fa9f2;PT;2020-07-07;;Public;Local;Optional;PT Batalha de Salgadela,EN Battle of Salgadela,DE Schlacht von Salgadela;GU-FC
c72d1d97-5c15-4dae-98e3-0a07c85db5d8;PT;2020-07-08;;Public;Local;Optional;PT Feriado Municipal,EN Municipal holiday,DE Kommunaler Feiertag;PO-AM,VR-CH
cac0dbe4-1d62-47d6-b840-29162875b718;PT;2020-07-10;;Public;Local;Optional;PT Feriado Municipal,EN Municipal holiday,DE Kommunaler Feiertag;BA-MD,VC-AV
8ae8b1e4-45a3-4a53-b043-a73fb83c36de;PT;2020-07-11;;Public;Local;Optional;PT Dia de São Bento,EN Day of Benedict of Nursia,DE Tag des Heiligen Benedikt von Nursia;PO-ST
43947204-6dff-4f72-b189-610f46790e0a;PT;2020-07-13;;Public;Local;Optional;PT Feriado Municipal,EN Municipal holiday,DE Kommunaler Feiertag;PO-MI
a765dc82-bfa1-43db-b009-5021efbd5a7b;PT;2020-07-17;;Public;Local;Optional;PT Nascimento de António José de Almeida,EN Birthday of António José de Almeid,DE Geburtstag António José de Almeida;CO-PC
2bf4fd74-faea-4886-8693-089fb4944bff;PT;2020-07-18;;Public;Local;Optional;PT Feriado Municipal,EN Municipal holiday,DE Kommunaler Feiertag;AC-NO
c52c035c-07ca-4072-8e94-a3ec2c07cd78;PT;2020-07-20;;Public;Local;Optional;PT Feriado Municipal,EN Municipal holiday,DE Kommunaler Feiertag;AC-LF,PO-PA,VI-CS
318ce1a0-fb17-4108-af40-1e2179393ed1;PT;2020-07-22;;Public;Local;Optional;PT Dia de Santa Maria Madalena,EN St Mary Magdalene's Day,DE Tag der heiligen Maria Magdalena;AC-MA,MA-PM
b7736ef0-10c3-4bce-a9a4-137ed98e63f7;PT;2020-07-24;;Public;Local;Optional;PT Dia de Santa Cristina,EN St Christina's Day,DE Tag der heiligen Christina;CO-CN
91ae5add-79b2-4af5-be96-621245f964c8;PT;2020-07-24;;Public;Local;Optional;PT Feriado Municipal,EN Municipal holiday,DE Kommunaler Feiertag;LE-PG
fd446747-d507-48d6-941d-a6ca0a33ff48;PT;2020-07-25;;Public;Local;Optional;PT Dia de São Cristóvão,EN St Christopher's Day,DE Tag des Heiligen Christophorus;AV-OV
f603b33c-0a91-4a55-8e63-cb99259df10a;PT;2020-07-25;;Public;Local;Optional;PT Dia de São Tiago,EN St James' Day,DE Jakobstag;BR-CL,CO-CA,SE-SC,VR-MB
b81a228d-5809-4479-a565-1ddaaf6b809b;PT;2020-07-25;;Public;Local;Optional;PT Dia de São Tomé de Mira,EN Day of St Thomas of Mira,DE Tag des Heiligen Thomas von Mira;CO-MI
18ce4f6e-d7b7-455a-8141-53df18e0219d;PT;2020-07-26;;Public;Local;Optional;PT Feriado Municipal,EN Municipal holiday,DE Kommunaler Feiertag;LI-LS
ab198202-9973-47ca-8ec6-65e258e40891;PT;2020-07-27;;Public;Local;Optional;PT Feriado Municipal,EN Municipal holiday,DE Kommunaler Feiertag;PO-LO
158f5c3a-3d41-41e2-803c-12fb77ea2c37;PT;2020-08-06;;Public;Local;Optional;PT Feriado Municipal,EN Municipal holiday,DE Kommunaler Feiertag;LE-PN
e5c340f4-307d-42cc-b496-021e0399f7ee;PT;2020-08-10;;Public;Local;Optional;PT Feriado Municipal,EN Municipal holiday,DE Kommunaler Feiertag;AC-SG,AV-OA,CB-OL,GU-GO
2bc76ef0-755b-4d09-9f5e-6462cde4aa53;PT;2020-08-10;;Public;Local;Optional;PT Dia de São Lourenço,EN St Lawrence's Day,DE Tag des Heiligen Laurentius von Rom;BA-VM,VC-PC
a2c2c9ad-c89b-4e38-8e50-277b13f2c7ae;PT;2020-08-11;;Public;Local;Optional;PT Feriado Municipal,EN Municipal holiday,DE Kommunaler Feiertag;AC-PV
fc9a4d10-adef-4166-a6c1-fa8c086ab1ba;PT;2020-08-13;;Public;Local;Optional;PT Feriado Municipal,EN Municipal holiday,DE Kommunaler Feiertag;CO-GO
22475259-5866-44d1-a217-0e5cf1e8de74;PT;2020-08-14;;Public;Local;Optional;PT Feriado Municipal,EN Municipal holiday,DE Kommunaler Feiertag;LE-BA
01670515-8755-407c-bae3-2587f3c445c2;PT;2020-08-16;;Public;Local;Optional;PT Dia de São Roque,EN St Roch's Day,DE Tag des Heiligen Rochus;AC-SP
f6647105-2a4d-4055-833d-cc58dd9599fb;PT;2020-08-16;;Public;Local;Optional;PT Nascimento de Couto Jardim,EN Birthday of Couto Jardim,DE Geburtstag Couto Jardim;EV-VV
c8b70891-d079-4f4c-adfc-3b47f69aec9f;PT;2020-08-16;;Public;Local;Optional;PT Feriado Municipal,EN Municipal holiday,DE Kommunaler Feiertag;VR-PR,VR-RP
ba7e0fcc-0948-4c39-9ae6-c47d5c35bddf;PT;2020-08-17;;Public;Local;Optional;PT Feriado Municipal,EN Municipal holiday,DE Kommunaler Feiertag;AV-AL,SA-CR
