Id;Country;StartDate;EndDate;Type;Names;Subdivisions;OUnits
e4d11ab8-ba9c-4048-9ae9-e00c7b84a15c;CZ;2025-03-10;2025-03-16;School;CS Jarní prázdniny,DE Frühjahrsferien,EN Spring holidays;ST-MB,ST-PB,JC-TA,JC-PT,JC-ST,US-UL,US-CV,US-MO,KR-JC,KR-RK,OL-OC,OL-SU,MO-OP,OL-JE;
1b7f9a9c-f156-4957-aa7d-ae491a4f867a;CZ;2025-04-17;2025-04-17;School;CS Velikonoční prázdniny,DE Osterferien,EN Easter holidays;;
7c56099d-4728-4734-9a54-254781a37b97;CZ;2025-07-01;2025-08-31;School;CS Hlavní prázdniny,DE Sommerferien,EN Summer holidays;;
08fe9ea6-d718-44e2-a6b7-0e2c95e4668e;CZ;2025-10-27;2025-10-29;School;CS Podzimní prázdniny,DE Herbstferien,EN Autumn holidays;;
a8954288-4796-405c-ac90-69b07123d5b8;CZ;2025-12-22;2026-01-02;School;CS Vánoční prázdniny,DE Weihnachtsferien,EN Christmas holidays;;
3ad0fd12-63c2-41e0-ab70-6e28688fe28a;CZ;2026-01-30;2026-01-30;School;CS Pololetní prázdniny,DE Semesterferien,EN Half-term holidays;;
a4635566-1365-4d49-b7ba-596dcfe96c9e;CZ;2026-02-02;2026-02-08;School;CS Jarní prázdniny,DE Frühjahrsferien,EN Spring holidays;ST-MB,ST-PB,JC-TA,JC-PT,JC-ST,US-UL,US-CV,US-MO,KR-JC,KR-RK,OL-OC,OL-SU,MO-OP,OL-JE;
df4f6e66-f2e8-494d-9e66-e8191e2ed308;CZ;2026-02-09;2026-02-15;School;CS Jarní prázdniny,DE Frühjahrsferien,EN Spring holidays;ST-BN,ST-BE,PL-RO,JC-CB,JC-CK,PL-KT,KR-TU,PA-PU,PA-CR,PA-SY,PA-UO,MO-OV,OL-PV;
824ef139-9e86-4c65-8029-f49bb8198a31;CZ;2026-02-16;2026-02-22;School;CS Jarní prázdniny,DE Frühjahrsferien,EN Spring holidays;PR;PR-1-5
9d50b999-203c-4d10-91c9-5f84b91a7a79;CZ;2026-02-16;2026-02-22;School;CS Jarní prázdniny,DE Frühjahrsferien,EN Spring holidays;JM-BK,JM-BM,JM-BO,JM-BV,JM-HO,JM-VY,JM-ZN,PL-DO,PL-TC,US-LN,MO-KI;
598eb4d8-e6c4-41a1-b9c6-b6fbc7caade2;CZ;2026-02-23;2026-03-01;School;CS Jarní prázdniny,DE Frühjahrsferien,EN Spring holidays;PR;PR-6-10
d8653da6-d223-48fe-af8e-dd8e3dd2d270;CZ;2026-02-23;2026-03-01;School;CS Jarní prázdniny,DE Frühjahrsferien,EN Spring holidays;KA-CH,KA-KV,KA-SO,ST-NB,JC-JH,US-LT,US-DC,OL-PR,MO-FM;
86eb5eac-fa7d-4f37-a23d-1a7e8a08004c;CZ;2026-03-02;2026-03-08;School;CS Jarní prázdniny,DE Frühjahrsferien,EN Spring holidays;ZL-KM,ZL-UH,ZL-VS,ZL-ZL,ST-PH,ST-PZ,ST-ME,ST-RA,PL-PJ,PL-PM,PL-PS,KR-HK,US-TP,MO-NJ;
