Id;Country;StartDate;EndDate;Type;RegionalScope;Name;
7f204740-76d7-4eb5-86b6-1cf973e2e5a3;MD;2029-01-07;2029-01-08;Public;National;RO Naşterea lui Iisus Hristos (Crăciunul pe stil vechi),DE Geburt Jesu Christi (Weihnachten im alten Stil),EN Birth of Jesus Christ (Christmas in the old style);
7adf299b-dbbd-4fb2-9844-e175487a546e;MD;2029-03-08;;Public;National;RO Ziua internaţională a femeii,DE Internationaler Frauentag,EN International Women's Day;
7b9f0e34-9123-477f-b7eb-46a9712db88e;MD;2029-04-08;;Public;National;RO Prima zi de Paşti conform calendarului bisericesc,DE Orthodoxer Ostersonntag,EN Orthodox Easter Sunday;
368d8081-b807-4cb3-9c35-c521b3e68e17;MD;2029-04-09;;Public;National;RO A doua zi de Paște conform calendarului bisericesc,DE Orthodoxer Ostermontag,EN Orthodox Easter Monday;
1778125f-2617-49e5-9703-03c87f8a2e92;MD;2029-04-16;;Public;National;RO Ziua Comemorarii (Pastele Blajinilor),DE Gedenktag (Raduniza),EN Commemoration Day (Radonitsa);
b33280de-b966-4846-a9f5-cb1e9198e285;MD;2029-05-01;;Public;National;RO Ziua internaţională a solidarităţii oamenilor muncii,DE Tag der Arbeit,EN Labour Day;
b7d3576b-0ef0-4785-a41f-8bc5235109df;MD;2029-05-09;;Public;National;RO Ziua Europei,DE Europatag,EN Europe Day;
c69288ca-9b99-4963-8ff3-6860ee08d178;MD;2029-05-09;;Public;National;RO Ziua Victoriei şi a comemorării eroilor căzuţi pentru Independenţa Patriei,DE Tag des Sieges,EN Victory Day;
37cc85dd-7399-49e9-a5d4-47632a2ae176;MD;2029-06-01;;Public;National;RO Ziua ocrotirii copilului,DE Weltkindertag,EN Children's Day;
a8d97cba-f961-4fcc-8a5d-3e8243afef70;MD;2029-08-27;;Public;National;RO Ziua independenţei Republicii Moldova,DE Unabhängigkeitstag der Republik Moldau,EN Independence Day of the Republic of Moldova;
cd03b6be-f42c-4aee-9a90-85d7a4163f08;MD;2029-08-31;;Public;National;"RO Sărbătoarea ""Limba noastră"",DE Nationaler Tag der Sprache,EN National Language Day";
f6800318-53b9-4fa4-b545-371c1e0fed3e;MD;2029-12-25;;Public;National;RO Naşterea lui Iisus Hristos (Crăciunul pe stil nou),DE Geburt Jesu Christi (Weihnachten im neuen Stil),EN Birth of Jesus Christ (Christmas in a new style);
a2e66ba6-e106-4d16-81e7-712c04666b0a;MD;2030-01-01;;Public;National;RO Anul Nou,DE Neujahr,EN New Year;
e0ef65de-4bd7-4641-8c29-b4bb748f2acd;MD;2030-01-07;2030-01-08;Public;National;RO Naşterea lui Iisus Hristos (Crăciunul pe stil vechi),DE Geburt Jesu Christi (Weihnachten im alten Stil),EN Birth of Jesus Christ (Christmas in the old style);
ffa07f7a-072a-40e2-8129-343bf34aeb6e;MD;2030-03-08;;Public;National;RO Ziua internaţională a femeii,DE Internationaler Frauentag,EN International Women's Day;
e6a1cb44-6445-4f63-ada4-3537e3505ce0;MD;2030-04-28;;Public;National;RO Prima zi de Paşti conform calendarului bisericesc,DE Orthodoxer Ostersonntag,EN Orthodox Easter Sunday;
e45a6198-4f2d-4e85-b02a-d635d0e1c8cc;MD;2030-04-29;;Public;National;RO A doua zi de Paște conform calendarului bisericesc,DE Orthodoxer Ostermontag,EN Orthodox Easter Monday;
bd3e2fec-e2ef-4dc2-b01e-5b39451a13ad;MD;2030-05-01;;Public;National;RO Ziua internaţională a solidarităţii oamenilor muncii,DE Tag der Arbeit,EN Labour Day;
38dded5d-7a71-45ec-bfa2-7cf2a4d1773b;MD;2030-05-06;;Public;National;RO Ziua Comemorarii (Pastele Blajinilor),DE Gedenktag (Raduniza),EN Commemoration Day (Radonitsa);
13f2350f-e37f-4fee-8d38-56231c24f9b9;MD;2030-05-09;;Public;National;RO Ziua Europei,DE Europatag,EN Europe Day;
ff388229-8a8a-45f3-a6fd-8831d6fa075d;MD;2030-05-09;;Public;National;RO Ziua Victoriei şi a comemorării eroilor căzuţi pentru Independenţa Patriei,DE Tag des Sieges,EN Victory Day;
f2385897-cf67-44d9-8829-c7d63add7128;MD;2030-06-01;;Public;National;RO Ziua ocrotirii copilului,DE Weltkindertag,EN Children's Day;
16681f47-f0db-41ec-a5cd-62536f42d12d;MD;2030-08-27;;Public;National;RO Ziua independenţei Republicii Moldova,DE Unabhängigkeitstag der Republik Moldau,EN Independence Day of the Republic of Moldova;
3e5d2dd6-f7e1-4e2d-8baa-91d92a266413;MD;2030-08-31;;Public;National;"RO Sărbătoarea ""Limba noastră"",DE Nationaler Tag der Sprache,EN National Language Day";
20738fc8-62c1-4067-9bcc-357341ac1b7c;MD;2030-12-25;;Public;National;RO Naşterea lui Iisus Hristos (Crăciunul pe stil nou),DE Geburt Jesu Christi (Weihnachten im neuen Stil),EN Birth of Jesus Christ (Christmas in a new style);
