Id;Country;StartDate;EndDate;Type;RegionalScope;Name;Subdivisions;Groups;Tags
06bdf825-a452-40a0-9715-cae55cf2ffab;CH;2028-04-17;2028-04-29;School;Regional;DE Frühlingsferien,FR Vacances de printemps,IT Vacanze di primavera,EN Spring holidays;ZH;ZH-VS;Recommended
acca2bc4-2616-4e8a-9cc1-8c0e9008c671;CH;2028-04-17;2028-04-29;School;Regional;DE Frühlingsferien,FR Vacances de printemps,IT Vacanze di primavera,EN Spring holidays;ZH;ZH-BS,ZH-MS;
f2da0cc9-03b9-47de-901c-d1f1787a8819;CH;2028-05-25;2028-05-27;School;Regional;DE Auffahrtsbrücke,FR Pont de l'Ascension,IT Ponte dell'Ascensione,EN Ascension Bridge;ZH;ZH-BS,ZH-MS;
47e43cd1-d519-43ad-afaf-ae48f56ce5bd;CH;2028-07-17;2028-08-19;School;Regional;DE Sommerferien,FR Vacances d'été,IT Vacanze estive,EN Summer holidays;ZH;ZH-VS;Recommended
88034963-cb22-429d-8947-979bd1e6aabf;CH;2028-10-09;2028-10-21;School;Regional;DE Herbstferien,FR Vacances d'automne,IT Vacanze d'autunno,EN Autumn holidays;ZH;ZH-VS;Recommended
973b0e9d-a045-45be-b3a4-49fd184a8b83;CH;2028-10-09;2028-10-21;School;Regional;DE Herbstferien,FR Vacances d'automne,IT Vacanze d'autunno,EN Autumn holidays;ZH;ZH-BS,ZH-MS;
600d544b-968c-49ff-be5e-e306f38f078a;CH;2028-12-25;2029-01-06;School;Regional;DE Weihnachtsferien,FR Vacances de Noël,IT Vacanze di Natale,EN Christmas holidays;ZH;;
f17c4d5c-3826-460c-9f21-c10d9b317b7e;CH;2029-03-30;2029-04-02;School;Regional;DE Ostern,FR Pâques,IT Pasqua,EN Easter;ZH;ZH-VS;Recommended
f11021d8-81d0-479b-a7a3-f8f77166c0c5;CH;2029-03-30;2029-04-02;School;Regional;DE Ostern,FR Pâques,IT Pasqua,EN Easter;ZH;ZH-BS,ZH-MS;
b89e3702-95f4-4b85-b57d-f881b8ad91b3;CH;2029-04-23;2029-05-05;School;Regional;DE Frühlingsferien,FR Vacances de printemps,IT Vacanze di primavera,EN Spring holidays;ZH;ZH-VS;Recommended
bf99c363-c5b6-48b0-90c3-9eef6cd5c51b;CH;2029-04-23;2029-05-05;School;Regional;DE Frühlingsferien,FR Vacances de printemps,IT Vacanze di primavera,EN Spring holidays;ZH;ZH-BS,ZH-MS;
62c4ed95-0405-4e9d-883b-1c8d1a26b1ae;CH;2029-05-10;2029-05-12;School;Regional;DE Auffahrtsbrücke,FR Pont de l'Ascension,IT Ponte dell'Ascensione,EN Ascension Bridge;ZH;ZH-BS,ZH-MS;
5ed601b3-5e65-4c8d-9e34-9ac8da664576;CH;2029-07-16;2029-08-18;School;Regional;DE Sommerferien,FR Vacances d'été,IT Vacanze estive,EN Summer holidays;ZH;ZH-VS;Recommended
